,title,authors,average_rating,title_lower,categories,description,thumbnail,published_year,combined_features
951,Einstein's Dreams,Alan Lightman,4.07,einstein's dreams,Fiction,Young Albert Einstein's dreams are imagined in a book that joins science and art to ponder such questions as the viscosity and flexibility of time. Reissue.,http://books.google.com/books/content?id=1oSGmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993.0,"einstein's dreams,Alan Lightman,Fiction,Young Albert Einstein's dreams are imagined in a book that joins science and art to ponder such questions as the viscosity and flexibility of time. Reissue."
952,The Inheritors,William Golding,3.52,the inheritors,Fiction,"The impact on a small surviving band of Neanderthal food gatherers of the arrival of Homo sapiens, a clever and ruthless killer.",http://books.google.com/books/content?id=oGpXc3u3NOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1962.0,"the inheritors,William Golding,Fiction,The impact on a small surviving band of Neanderthal food gatherers of the arrival of Homo sapiens, a clever and ruthless killer."
953,Awakenings,Oliver Sacks,4.1,awakenings,Medical,Describes the author's work with institutionalized patients at Mount Carmel Hospital and the dramatic effects of the drug L-DOPA on twenty patients suffering from encephalitic Parkinsonism,http://books.google.com/books/content?id=fUzk9gDqBWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999.0,"awakenings,Oliver Sacks,Medical,Describes the author's work with institutionalized patients at Mount Carmel Hospital and the dramatic effects of the drug L-DOPA on twenty patients suffering from encephalitic Parkinsonism"
954,Amelia Bedelia Goes Camping,Peggy Parish/Lynn Sweat,4.13,amelia bedelia goes camping,Juvenile Fiction,"Camp Out Amelia Bedelia has never been camping in the great outdoors before. She's trying her best to do exactly as she's told, but pitching a tent is not the same as throwing it into the bushes, and catching a fish with your bare hands isn't easy. As usual, the mixed-up housekeeper makes this camping trip one hugely entertaining adventure.",http://books.google.com/books/content?id=WEEz7PKLpQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"amelia bedelia goes camping,Peggy Parish/Lynn Sweat,Juvenile Fiction,Camp Out Amelia Bedelia has never been camping in the great outdoors before. She's trying her best to do exactly as she's told, but pitching a tent is not the same as throwing it into the bushes, and catching a fish with your bare hands isn't easy. As usual, the mixed-up housekeeper makes this camping trip one hugely entertaining adventure."
955,Amelia Bedelia Helps Out,Peggy Parish/Lynn Sweat,4.25,amelia bedelia helps out,Juvenile Fiction,"Starring everyone's favourite literal–minded housekeeper, Amelia Bedelia Helps Out appears for the first time in full colour and as an I Can Read Book! A neighbor needs Amelia Bedelia's helping hands, so everyone's favorite housekeeper is off to Miss Emma's house for a day of work. It's a good thing Miss Emma likes to laugh, because Amelia Bedelia makes her usual merry mess! "" Available for the first time in full color! "" The zany antics of Amelia Bedelia, one of children's books most lovable characters, have been enjoyed by kids for more than 40 years! "" Herman Parish, nephew to Peggy Parish, who was the original creator of Amelia Bedelia, carries on the tradition of his aunt with new books starring the entertaining housekeeper. Ages 4–8",http://books.google.com/books/content?id=rELWOiQkJTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"amelia bedelia helps out,Peggy Parish/Lynn Sweat,Juvenile Fiction,Starring everyone's favourite literal–minded housekeeper, Amelia Bedelia Helps Out appears for the first time in full colour and as an I Can Read Book! A neighbor needs Amelia Bedelia's helping hands, so everyone's favorite housekeeper is off to Miss Emma's house for a day of work. It's a good thing Miss Emma likes to laugh, because Amelia Bedelia makes her usual merry mess! "" Available for the first time in full color! "" The zany antics of Amelia Bedelia, one of children's books most lovable characters, have been enjoyed by kids for more than 40 years! "" Herman Parish, nephew to Peggy Parish, who was the original creator of Amelia Bedelia, carries on the tradition of his aunt with new books starring the entertaining housekeeper. Ages 4–8"
956,Directing the Documentary,Michael Rabiger,4.23,directing the documentary,Performing Arts,"Michael Rabiger guides the reader through the stages required to conceive, edit and produce a documentary. He also provides advice on the law, ethics and authorship as well as career possibilities and finding work.",http://books.google.com/books/content?id=uoKliOPD5qEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"directing the documentary,Michael Rabiger,Performing Arts,Michael Rabiger guides the reader through the stages required to conceive, edit and produce a documentary. He also provides advice on the law, ethics and authorship as well as career possibilities and finding work."
957,Introduction to Documentary,Bill Nichols,3.79,introduction to documentary,Performing Arts,Why Are Ethical Issues Central to Documentary Filmmaking? - How Do Documentaries Differ from Other Types of Film? - What Gives Documentary Films a Voice of Their Own? - What Are Documentaries About? - How Did Documentary Filmmaking Get Started? - What Types of Documentary Are There? - How Have documentaries Addressed Social and Political Issues? - How Can We Write Effectively about Documentary?,http://books.google.com/books/content?id=E5bj1XDvRxUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2001.0,"introduction to documentary,Bill Nichols,Performing Arts,Why Are Ethical Issues Central to Documentary Filmmaking? - How Do Documentaries Differ from Other Types of Film? - What Gives Documentary Films a Voice of Their Own? - What Are Documentaries About? - How Did Documentary Filmmaking Get Started? - What Types of Documentary Are There? - How Have documentaries Addressed Social and Political Issues? - How Can We Write Effectively about Documentary?"
958,The Mind Parasites,Colin Wilson,3.77,the mind parasites,Fiction,Mind parasites are sucking the human mind dry. Humankind must develop paranormal abilities or perish.,http://books.google.com/books/content?id=v9F-AaygPYQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"the mind parasites,Colin Wilson,Fiction,Mind parasites are sucking the human mind dry. Humankind must develop paranormal abilities or perish."
959,Neil Gaiman's Neverwhere,Mike Carey/Glenn Fabry/Neil Gaiman,4.24,neil gaiman's neverwhere,Comics & Graphic Novels,The comics adaptation of Neil Gaiman's acclaimed novel follows the adventures of an ordinary Londoner who stops to help an enigmatic girl and is drawn into a battle to save a strange underworld kingdom--London Below--from destruction.,http://books.google.com/books/content?id=fQLkAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007.0,"neil gaiman's neverwhere,Mike Carey/Glenn Fabry/Neil Gaiman,Comics & Graphic Novels,The comics adaptation of Neil Gaiman's acclaimed novel follows the adventures of an ordinary Londoner who stops to help an enigmatic girl and is drawn into a battle to save a strange underworld kingdom--London Below--from destruction."
960,Neverwhere,Neil Gaiman,4.17,neverwhere,Businessmen,'The sort of book Terry Pratchett might produce if he spent a month locked in a cellar with Franz Kafka' Wire,http://books.google.com/books/content?id=yilZKwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,"neverwhere,Neil Gaiman,Businessmen,'The sort of book Terry Pratchett might produce if he spent a month locked in a cellar with Franz Kafka' Wire"
961,The Perfume Factory,Alex Austin,4.18,the perfume factory,,"As the summer of his eighteenth birthday unfolds, Sam Nesbitt finalizes plans to escape his violent abusive father and bleak Jersey Shore town. Although the local police have Sam in their sights for a break-in and theft, he has nimbly avoided arrest, and vows to stay out of trouble. His plans are disrupted when he meets Julie, a pretty, vivacious young woman from the city, who takes an unexpected interest in him. To cement her interest, he tells numerous lies about himself, including his acceptance by an Ivy League college. Sam, who has survived by suppressing his feelings and emotions--playing it cool--obsessively pursues her, setting aside his habitual caution, altering his escape plans, and experiencing his first romantic love and sexual experience, pain and joy in tow.",,2018.0,"the perfume factory,Alex Austin,As the summer of his eighteenth birthday unfolds, Sam Nesbitt finalizes plans to escape his violent abusive father and bleak Jersey Shore town. Although the local police have Sam in their sights for a break-in and theft, he has nimbly avoided arrest, and vows to stay out of trouble. His plans are disrupted when he meets Julie, a pretty, vivacious young woman from the city, who takes an unexpected interest in him. To cement her interest, he tells numerous lies about himself, including his acceptance by an Ivy League college. Sam, who has survived by suppressing his feelings and emotions--playing it cool--obsessively pursues her, setting aside his habitual caution, altering his escape plans, and experiencing his first romantic love and sexual experience, pain and joy in tow."
962,Psyche in a Dress,Francesca Lia Block,3.84,psyche in a dress,Juvenile Fiction,"But this is what I could not give up: I could not give up myself Psyche has known Love—scented with jasmine and tasting of fresh oranges. Yet he is fleeting and fragile, lost to her too quickly. Punished by self-doubt, Psyche yearns to be transformed, like the beautiful and brutal figures in the myths her lover once spoke of. Attempting to uncover beauty in the darkness, she is challenged, tested, and changed by the gods and demons who tempt her. Her faith must be found again, for if she is to love, she must never look back.",http://books.google.com/books/content?id=NYE3GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"psyche in a dress,Francesca Lia Block,Juvenile Fiction,But this is what I could not give up: I could not give up myself Psyche has known Love—scented with jasmine and tasting of fresh oranges. Yet he is fleeting and fragile, lost to her too quickly. Punished by self-doubt, Psyche yearns to be transformed, like the beautiful and brutal figures in the myths her lover once spoke of. Attempting to uncover beauty in the darkness, she is challenged, tested, and changed by the gods and demons who tempt her. Her faith must be found again, for if she is to love, she must never look back."
963,Edie,Jean Stein/George Plimpton,4.14,edie,Biography & Autobiography,"Chronicles the short life of Edie Sedgwick and her rise to become one of the Warhol superstars, as viewed by her family and such personalities as Capote, Vidal, and Warhol.",http://books.google.com/books/content?id=nSk4pPeDsukC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1994.0,"edie,Jean Stein/George Plimpton,Biography & Autobiography,Chronicles the short life of Edie Sedgwick and her rise to become one of the Warhol superstars, as viewed by her family and such personalities as Capote, Vidal, and Warhol."
964,The Red and the Black,Stendhal/Burton Raffel/Diane Johnson,3.88,the red and the black,Fiction,"During the Bourbon Restoration, Julien Sorel disregards all moral codes as he attempts to accumulate power.",http://books.google.com/books/content?id=qlFoAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"the red and the black,Stendhal/Burton Raffel/Diane Johnson,Fiction,During the Bourbon Restoration, Julien Sorel disregards all moral codes as he attempts to accumulate power."
965,Red and Black,Stendhal/Robert M. Adams,3.88,red and black,Fiction,A rakish young man with great ambitions and a remarkable ability to take advantage of profitable situations is the hero of this novel set in nineteenth-century France,http://books.google.com/books/content?id=EcrBer6qdl4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1969.0,"red and black,Stendhal/Robert M. Adams,Fiction,A rakish young man with great ambitions and a remarkable ability to take advantage of profitable situations is the hero of this novel set in nineteenth-century France"
966,The Charterhouse of Parma,Stendhal/Richard Howard/Robert Andrew Parker,3.82,the charterhouse of parma,Fiction,"Follows the adventures of young Fabrizio del Dongo as he joins Napoleon's army just before the Battle of Waterloo, and struggles to keep hidden his love for Clelia amid the intrigues and secrets of the small court of Parma.",http://books.google.com/books/content?id=ZKk_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,"the charterhouse of parma,Stendhal/Richard Howard/Robert Andrew Parker,Fiction,Follows the adventures of young Fabrizio del Dongo as he joins Napoleon's army just before the Battle of Waterloo, and struggles to keep hidden his love for Clelia amid the intrigues and secrets of the small court of Parma."
967,The King of Elfland's Daughter,Lord Dunsany/Neil Gaiman,3.84,the king of elfland's daughter,Fiction,"A young prince ventures into a mysterious forest in search of the land of Faerie and of a princess bride, in one of the landmarks of modern fantasy fiction",http://books.google.com/books/content?id=LIoBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999.0,"the king of elfland's daughter,Lord Dunsany/Neil Gaiman,Fiction,A young prince ventures into a mysterious forest in search of the land of Faerie and of a princess bride, in one of the landmarks of modern fantasy fiction"
968,Fifty-One Tales,Lord Dunsany/John Gregory Betancourt/Lin Carter,3.79,fifty-one tales,Fiction,"Lord Dunsany was one of the most influential writers of fantasy fiction in 20th century. ""Fifty-One Tales"" (originally published in 1915 and sometimes reprinted under the title ""The Food of Death"") is an ideal introduction to Dunsany.",http://books.google.com/books/content?id=QdbDaHpPICQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"fifty-one tales,Lord Dunsany/John Gregory Betancourt/Lin Carter,Fiction,Lord Dunsany was one of the most influential writers of fantasy fiction in 20th century. ""Fifty-One Tales"" (originally published in 1915 and sometimes reprinted under the title ""The Food of Death"") is an ideal introduction to Dunsany."
969,Goodnight Nobody,Jennifer Weiner,3.65,goodnight nobody,Fiction,"Having relocated to an alienating Connecticut suburb after a mugging in her native New York City, wife and mother Kate Klein undertakes a murder investigation during her children's school hours when a local mom is killed.",http://books.google.com/books/content?id=nUtLjcr6WtYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2006.0,"goodnight nobody,Jennifer Weiner,Fiction,Having relocated to an alienating Connecticut suburb after a mugging in her native New York City, wife and mother Kate Klein undertakes a murder investigation during her children's school hours when a local mom is killed."
970,Davita's Harp,Chaim Potok,3.99,davita's harp,Fiction,"The daughter of a nonbelieving Jewish mother and a nonbelieving gentile father--dedicated Communists both--Davita Chandal, growing up as the world suffers through the Spanish Civil War and World War II, turns to Judaism for consolation and spiritual sustenance",http://books.google.com/books/content?id=YzUDLcXxOPsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,"davita's harp,Chaim Potok,Fiction,The daughter of a nonbelieving Jewish mother and a nonbelieving gentile father--dedicated Communists both--Davita Chandal, growing up as the world suffers through the Spanish Civil War and World War II, turns to Judaism for consolation and spiritual sustenance"
971,Neuromancer,William Gibson,3.9,neuromancer,Fiction,"Case, a burned-out computer whiz, is asked to steal a security code that is locked in the most heavily guarded databank in the solar system, in a special twentieth anniversary edition of the influential Hugo, Nebula, and Philip K. Dick Award-winning novel.",http://books.google.com/books/content?id=2NyiPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"neuromancer,William Gibson,Fiction,Case, a burned-out computer whiz, is asked to steal a security code that is locked in the most heavily guarded databank in the solar system, in a special twentieth anniversary edition of the influential Hugo, Nebula, and Philip K. Dick Award-winning novel."
972,Chosen But Free,Norman L. Geisler,3.31,chosen but free,Religion,"Offers a balanced, moderating position to the endless theological debate over man's free will and God's sovereignty.",http://books.google.com/books/content?id=ATcHAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,"chosen but free,Norman L. Geisler,Religion,Offers a balanced, moderating position to the endless theological debate over man's free will and God's sovereignty."
973,A Scanner Darkly,Philip K. Dick,4.02,a scanner darkly,Detective and mystery stories,"Substance D -- otherwise known as Death -- is the most dangerous drug ever to find its way on to the black market. It destroys the links between the brain's two hemispheres, leading first to disorentation and then to complete and irreversible brain damage. Bob Arctor, undercover narcotics agent, is trying to find a lead to the source of supply, but to pass as an addict he must become a user, and soon, without knowing what is happening to him, he is as dependent as any of the addicts he is monitoring.",http://books.google.com/books/content?id=SDkDHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"a scanner darkly,Philip K. Dick,Detective and mystery stories,Substance D -- otherwise known as Death -- is the most dangerous drug ever to find its way on to the black market. It destroys the links between the brain's two hemispheres, leading first to disorentation and then to complete and irreversible brain damage. Bob Arctor, undercover narcotics agent, is trying to find a lead to the source of supply, but to pass as an addict he must become a user, and soon, without knowing what is happening to him, he is as dependent as any of the addicts he is monitoring."
974,Last Man Standing,David Baldacci,4.04,last man standing,English fiction,"Seven seconds. That's all it took for Web London to lose everything: his friends, his team, his reputation. Point man of the FBI's super-elite Hostage Rescue Team, Web roared into a blind alley towards a drug leader's lair, only to meet a high-tech, custom-designed ambush that killed everyone around him. Coping with the blame-filled words of anguished widows and the suspicions of colleagues, Web tries to put his life back together. To do so, he must discover why he was the one man who lived through the ambush - and find the only other person who came out of the alley alive... a ten-year-old boy who has since disappeared. Acting on his instincts, Web believes he knows where the killer will strike next. Only this time, he may not survive the attack. In his extraordinary new work, Baldacci uses his unsurpassed storytelling skills to explore the essence of survival itself, as a conspiracy of violence surrounds an FBI agent whose fate was to be the ... LAST MAN STANDING.",http://books.google.com/books/content?id=7vc6jMHADcAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"last man standing,David Baldacci,English fiction,Seven seconds. That's all it took for Web London to lose everything: his friends, his team, his reputation. Point man of the FBI's super-elite Hostage Rescue Team, Web roared into a blind alley towards a drug leader's lair, only to meet a high-tech, custom-designed ambush that killed everyone around him. Coping with the blame-filled words of anguished widows and the suspicions of colleagues, Web tries to put his life back together. To do so, he must discover why he was the one man who lived through the ambush - and find the only other person who came out of the alley alive... a ten-year-old boy who has since disappeared. Acting on his instincts, Web believes he knows where the killer will strike next. Only this time, he may not survive the attack. In his extraordinary new work, Baldacci uses his unsurpassed storytelling skills to explore the essence of survival itself, as a conspiracy of violence surrounds an FBI agent whose fate was to be the ... LAST MAN STANDING."
975,Plain Truth,Jodi Picoult,3.98,plain truth,Amish,Jodi Picoult explores the complex choices of the heart for a young Amish woman - and the compelling journey of discovery for an urban lawyer who befriends and protects her.,http://books.google.com/books/content?id=3SJMZlq9nE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"plain truth,Jodi Picoult,Amish,Jodi Picoult explores the complex choices of the heart for a young Amish woman - and the compelling journey of discovery for an urban lawyer who befriends and protects her."
976,Vanishing Acts,Jodi Picoult,3.69,vanishing acts,Fiction,"Working with the Search and Rescue bloodhound team to find missing people, single mother Delia Hopkins anticipates her upcoming nuptials, until a series of unsettling flashbacks threatens to devastate her life and the lives of those she most loves. By the author of My Sister's Keeper and Second Glance. Reprint. 300,000 first printing.",http://books.google.com/books/content?id=33Q_BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2005.0,"vanishing acts,Jodi Picoult,Fiction,Working with the Search and Rescue bloodhound team to find missing people, single mother Delia Hopkins anticipates her upcoming nuptials, until a series of unsettling flashbacks threatens to devastate her life and the lives of those she most loves. By the author of My Sister's Keeper and Second Glance. Reprint. 300,000 first printing."
977,The Outsiders,S.E. Hinton/Jodi Picoult,4.09,the outsiders,Alienation (Social psychology),"The Socs's idea of having a good time is beating up Greasers like Ponyboy, the rough, tough, long-haired kids from the other side of town. Ponyboy knows what to expect and knows he can count on his friends - until the night someone goes too far.",http://books.google.com/books/content?id=LOnpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"the outsiders,S.E. Hinton/Jodi Picoult,Alienation (Social psychology),The Socs's idea of having a good time is beating up Greasers like Ponyboy, the rough, tough, long-haired kids from the other side of town. Ponyboy knows what to expect and knows he can count on his friends - until the night someone goes too far."
978,A Tree Grows in Brooklyn,Betty  Smith,4.26,a tree grows in brooklyn,Fiction,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",http://books.google.com/books/content?id=Y-FZ9gRwMTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"a tree grows in brooklyn,Betty  Smith,Fiction,The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience."
979,Sense and Sensibility,Jane Austen/Claudia L. Johnson,4.07,sense and sensibility,Fiction,"Two sisters are drawn into unhappy romances despite the cool judgment of one and the emotional intensity of the other in this nineteenth-century novel that is accompanied by related writings, annotations, and criticisms.",,2002.0,"sense and sensibility,Jane Austen/Claudia L. Johnson,Fiction,Two sisters are drawn into unhappy romances despite the cool judgment of one and the emotional intensity of the other in this nineteenth-century novel that is accompanied by related writings, annotations, and criticisms."
980,To the Lighthouse,Virginia Woolf/Mark Hussey,3.78,to the lighthouse,Fiction,An English family's complex lives are followed and picked up again after a 10 year hiatus in order to explore the effects of time.,http://books.google.com/books/content?id=Ak83vQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1927.0,"to the lighthouse,Virginia Woolf/Mark Hussey,Fiction,An English family's complex lives are followed and picked up again after a 10 year hiatus in order to explore the effects of time."
981,Mrs. Dalloway,Virginia Woolf/Maureen Howard,3.79,mrs. dalloway,Fiction,A poignant portrayal of the thoughts and events that comprise one day in a woman's life.,http://books.google.com/books/content?id=BU6Kl4mi4DgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"mrs. dalloway,Virginia Woolf/Maureen Howard,Fiction,A poignant portrayal of the thoughts and events that comprise one day in a woman's life."
982,A Room of One's Own,Virginia Woolf,4.14,a room of one's own,Fiction,"This story grew out of a lecture that Virginia Woolf had been invited to give at Girton College, Cambridge in 1928. It ranges over Jane Austen and Charlotte Bronte, the silent fate of Shakespeare's gifted and imaginary sister, and over the effects of poverty and chastity on female creativity.",http://books.google.com/books/content?id=cUrKjq3qPX0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"a room of one's own,Virginia Woolf,Fiction,This story grew out of a lecture that Virginia Woolf had been invited to give at Girton College, Cambridge in 1928. It ranges over Jane Austen and Charlotte Bronte, the silent fate of Shakespeare's gifted and imaginary sister, and over the effects of poverty and chastity on female creativity."
983,The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf/Susan Dick,4.05,the complete shorter fiction of virginia woolf,Fiction,Collects nearly fifty short stories and sketches written over the course of Woolf's writing career and arranges them chronologically to offer insights into Woolf's development as a writer,http://books.google.com/books/content?id=hZyixrjITqMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1989.0,"the complete shorter fiction of virginia woolf,Virginia Woolf/Susan Dick,Fiction,Collects nearly fifty short stories and sketches written over the course of Woolf's writing career and arranges them chronologically to offer insights into Woolf's development as a writer"
984,A Writer's Diary,Virginia Woolf/Leonard Woolf,4.26,a writer's diary,Biography & Autobiography,Extracts drawn by Virginia Woolf's husband from the personal record she kept over a period of twenty-seven years offer insight into the art and mind of the twentieth-century author.,http://books.google.com/books/content?id=pn9OzR4AYdsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"a writer's diary,Virginia Woolf/Leonard Woolf,Biography & Autobiography,Extracts drawn by Virginia Woolf's husband from the personal record she kept over a period of twenty-seven years offer insight into the art and mind of the twentieth-century author."
985,The Autobiography of Alice B. Toklas,Gertrude Stein,3.59,the autobiography of alice b. toklas,Biography & Autobiography,"The Autogiography of Alice B. Toklas is in fact Gertrude Stein's own autobiography, seen through the eyes of her friend, Alice B. Toklas. With occasional glimpses into her early life, it describes her years in Paris until 1932.",http://books.google.com/books/content?id=cEbEOc1MTrgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,"the autobiography of alice b. toklas,Gertrude Stein,Biography & Autobiography,The Autogiography of Alice B. Toklas is in fact Gertrude Stein's own autobiography, seen through the eyes of her friend, Alice B. Toklas. With occasional glimpses into her early life, it describes her years in Paris until 1932."
986,Spook: Science Tackles the Afterlife,Mary Roach,3.58,spook: science tackles the afterlife,Language Arts & Disciplines,"Draws on the achievements of scientists, engineers, and mediums to consider the feasibility of life after death, from a reincarnation researcher's experimentation with out-of-body experiences to laboratory investigations into ghosts.",http://books.google.com/books/content?id=9S2yrVKkzicC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2006.0,"spook: science tackles the afterlife,Mary Roach,Language Arts & Disciplines,Draws on the achievements of scientists, engineers, and mediums to consider the feasibility of life after death, from a reincarnation researcher's experimentation with out-of-body experiences to laboratory investigations into ghosts."
987,The Passion,Jeanette Winterson,4.11,the passion,Fiction,"Passion consumes Henri, a chef with Napoleon's army, and Villanelle, who has lost her heart to a married noblewoman, until the two meet at the gates of Moscow and form a bond based on bitter loss",http://books.google.com/books/content?id=Dl6gOz07zmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1987.0,"the passion,Jeanette Winterson,Fiction,Passion consumes Henri, a chef with Napoleon's army, and Villanelle, who has lost her heart to a married noblewoman, until the two meet at the gates of Moscow and form a bond based on bitter loss"
988,Sexing the Cherry,Jeanette Winterson,3.81,sexing the cherry,Fiction,"Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond",http://books.google.com/books/content?id=P4hcA18236YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1989.0,"sexing the cherry,Jeanette Winterson,Fiction,Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond"
989,Written on the Body,Jeanette Winterson,4.07,written on the body,Fiction,A combined love story and philosophical meditation on the body as a physical phenomenon thrusts the reader into the life of a married woman and her erotic relationship with an unidentified lover who narrates the story,http://books.google.com/books/content?id=ZZ5d7mvfriUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,"written on the body,Jeanette Winterson,Fiction,A combined love story and philosophical meditation on the body as a physical phenomenon thrusts the reader into the life of a married woman and her erotic relationship with an unidentified lover who narrates the story"
990,Alfred Hitchcock and the Making of Psycho,Stephen Rebello,3.9,alfred hitchcock and the making of psycho,Psycho (Motion picture : 1960),"Thirty years after its creation, Psycho ramains the yardstick by whicy all other thrillers are measured. Stephen Rebello gives readers an intimate glance at the making of this incredible movie from beginning (the true life crime on which Psycho is based) to end (Hitchcock's obsessive instructions to darken theaters and close the curtains for 30 seconds after the opening credits, in order to raise the suspense). 16 pages of photographs.",http://books.google.com/books/content?id=SxNfkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,"alfred hitchcock and the making of psycho,Stephen Rebello,Psycho (Motion picture : 1960),Thirty years after its creation, Psycho ramains the yardstick by whicy all other thrillers are measured. Stephen Rebello gives readers an intimate glance at the making of this incredible movie from beginning (the true life crime on which Psycho is based) to end (Hitchcock's obsessive instructions to darken theaters and close the curtains for 30 seconds after the opening credits, in order to raise the suspense). 16 pages of photographs."
991,Five Quarters of the Orange,Joanne Harris,3.85,five quarters of the orange,Cookery,"Beyond The Main Street Of Les Laveuses Runs The Loire, Smooth And Brown As A Sunning Snake - But Hiding A Deadly Undertow Beneath Its Moving Surface. This Is Where Framboise, A Secretive Widow Named After A Raspberry Liqueur, Plies Her Culinary Trade At The Crêperie - And Lets Memory Play Strange Games.Into This World Comes The Threat Of Revelation As Framboise S Nephew A Profiteering Parisian Attempts To Exploit The Growing Success Of The Country Recipes She Has Inherited From Her Mother, A Woman Remembered With Contempt By The Villagers Of Les Laveuses. As The Spilt Blood Of A Tragic Wartime Childhood Flows Again, Exposure Beckons For Framboise, The Widow With An Invented Past.Joanne Harris Has Looked Behind The Drawn Shutters Of Occupied France To Illuminate The Pain, Delight And Loss Of A Life Changed For Ever By The Uncertainties And Betrayals Of War.",http://books.google.com/books/content?id=IF63k02hpw4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"five quarters of the orange,Joanne Harris,Cookery,Beyond The Main Street Of Les Laveuses Runs The Loire, Smooth And Brown As A Sunning Snake - But Hiding A Deadly Undertow Beneath Its Moving Surface. This Is Where Framboise, A Secretive Widow Named After A Raspberry Liqueur, Plies Her Culinary Trade At The Crêperie - And Lets Memory Play Strange Games.Into This World Comes The Threat Of Revelation As Framboise S Nephew A Profiteering Parisian Attempts To Exploit The Growing Success Of The Country Recipes She Has Inherited From Her Mother, A Woman Remembered With Contempt By The Villagers Of Les Laveuses. As The Spilt Blood Of A Tragic Wartime Childhood Flows Again, Exposure Beckons For Framboise, The Widow With An Invented Past.Joanne Harris Has Looked Behind The Drawn Shutters Of Occupied France To Illuminate The Pain, Delight And Loss Of A Life Changed For Ever By The Uncertainties And Betrayals Of War."
